abstract,author,doi,url,publication month,publication year,title,publisher,crossref_field,semantic_field,label
,"['Samuel A. Fricker', 'Kurt Schneider', 'Oliver Karras']",https://doi.org/10.1016/j.jss.2019.110479,,,2020,Representing software project vision by means of video: A quality model for vision videos,Journal of Systems and Software,,,Science
,"['Kurt Schneider', 'Oliver Karras']",,,,2021,An Interdisciplinary Guideline for the Production of Videos and Vision Videos by Software Professionals,,,,Science
,"['Kurt Schneider', 'Oliver Karras']",10.1109/d4re.2018.00011,,8,2018,Software Professionals are Not Directors: What Constitutes a Good Video?,2018 1st International Workshop on Learning from other Disciplines for Requirements Engineering (D4RE),,,Science
,Oliver Karras,10.1007/978-3-030-03673-7_11,,,2018,Software Professionals’ Attitudes Towards Video as a Medium in Requirements Engineering,Product-Focused Software Process Improvement,,,Science
,"['K. Ochimizu', 'M. Saeki', 'H. Kaiya']",10.1109/case.1995.465308,,,,Design of a hyper media tool to support requirements elicitation meetings,Proceedings Seventh International Workshop on Computer-Aided Software Engineering,,,Science
,"['Brian Berenbach', 'Mark Gall']",10.1109/mere.2006.6,,9,2006,Towards a Framework for Real Time Requirements Elicitation,2006 First International Workshop on Multimedia Requirements Engineering (MERE'06 - RE'06 Workshop),,,Science
,"['Linda Marilena Bertolli', 'Kurt Schneider']",10.1109/rew.2019.00039,,9,2019,"Video Variants for CrowdRE: How to Create Linear Videos, Vision Videos, and Interactive Videos",2019 IEEE 27th International Requirements Engineering Conference Workshops (REW),,,Science
,"['Kurt Schneider', 'Jil Klünder', 'Oliver Karras']",10.5281/ZENODO.59011,,9,2016,Enrichment Of Requirements Specifications With Videos - Enhancing The Comprehensibility Of Textual Requirements,Zenodo,,,Science
,"['Bashar Nuseibeh', 'Andrea Zisman', 'Andrew Smith', 'Charith Perera', 'Jesús García Galán', 'Ciaran McCormick', 'Amel Bennaceur']",10.1145/2897053.2897071,,5,2016,"Feed me, feed me: an exemplar for engineering adaptive software",Proceedings of the 11th International Symposium on Software Engineering for Adaptive and Self-Managing Systems,,,Science
,"['Oliver Creighton', 'Harald Stangl']",10.1109/mere.2011.6043940,,8,2011,Continuous demonstration,2011 Fourth International Workshop on Multimedia and Enjoyable Requirements Engineering (MERE'11),,,Science
,Kurt Schneider,10.1109/re.2011.6051645,,8,2011,Focusing spontaneous feedback to support system evolution,2011 IEEE 19th International Requirements Engineering Conference,,,Science
,"['Bashar Nuseibeh', 'Keerthi Thomas', 'Blaine A. Price', 'Adam N. Joinson', 'Lukasz Jedrzejczyk', 'Tony Coe', 'Arosha K. Bandara', 'Yvonne Rogers', 'Clara Mancini']",10.1145/1753326.1753350,,,2010,Contravision: exploring users' reactions to futuristic technology,Proceedings of the 28th international conference on Human factors in computing systems - CHI '10,,,Science
,"['Maximilian Reiss', 'Harald Stangl', 'Bernd Bruegge']",10.1145/1449814.1449868,,,2008,An experiment in teaching innovation in software engineering: video presentation,Companion to the 23rd ACM SIGPLAN conference on Object oriented programming systems languages and applications - OOPSLA Companion '08,,,Science
,"['Harald Stangl', 'Maximilian Reib', 'Oliver Creighton', 'Bernd Bruegge']",10.1109/mere.2008.2,,9,2008,Applying a Video-based Requirements Engineering Technique to an Airport Scenario,2008 Third International Workshop on Multimedia and Enjoyable Requirements Engineering - Beyond Mere Descriptions and with More Fun and Games,,,Science
,"['Fei Peng', 'Lin Liu', 'Yuhui Shan']",10.1109/mere.2008.4,,9,2008,MEGORE: Multimedia Enhanced Goal-Oriented Requirement Elicitation Experience in China,2008 Third International Workshop on Multimedia and Enjoyable Requirements Engineering - Beyond Mere Descriptions and with More Fun and Games,,,Science
,"['Raphael Wimmer', 'Enrico Rukzio', 'Heinrich Hussmann', 'Gregor Broll']",,,,2007,Using Video Clips to Support Requirements Elicitation in Focus Groups - An Experience Report.,SE 2007 Workshop on Multimedia Requirements Engineering,,,Science
,"['Neil Maiden', 'Paul Grunbacher', 'Norbert Seyff', 'Rick Rabiser']",10.1109/mere.2006.1,,9,2006,Capturing Multimedia Requirements Descriptions with Mobile RE Tools,2006 First International Workshop on Multimedia Requirements Engineering (MERE'06 - RE'06 Workshop),,,Science
,"['P. Luff', 'M. Jirotka']",10.1109/ms.2006.84,,5,2006,Supporting requirements with video-based analysis,IEEE Software,,,Science
,"['N. Maiden', 'K. Zachos']",10.1109/icre.2004.1335700,,,,ART-SCENE: enhancing scenario walkthroughs with multi-media scenarios,"Proceedings. 12th IEEE International Requirements Engineering Conference, 2004.",,,Science
,"['Anne Laure Fayard', 'Wendy E. Mackay']",10.1145/632716.632790,,,1999,Video brainstorming and prototyping: techniques for participatory design,CHI '99 extended abstracts on Human factors in computing systems  - CHI '99,,,Science
,"['K. Weidenhaupt', 'K. Pohl', 'P. Haumer']",10.1109/32.738338,,,1998,Requirements elicitation and validation with real world scenes,IEEE Transactions on Software Engineering,,,Science
,"['Patricia Wall', 'Francoise Brun-Cottan']",10.1145/203356.203368,,5,1995,Using video to re-present the user,Communications of the ACM,,,Science
,"['J.D. Palmer', 'N.A. Fields', 'P.L. Brouse']",10.1109/icsmc.1992.271669,,,,A multimedia computer supported cooperative work environment for requirements engineering,"[Proceedings] 1992 IEEE International Conference on Systems, Man, and Cybernetics",,,Science
,"['Christoph Thuemmler', 'Farnaz Fotrousi', 'Kurt Schneider', 'Samuel A. Fricker']",10.1007/s00766-015-0231-5,,6,2015,Workshop videos for requirements communication,Requirements Engineering,,,Science
,"['Ruth Demmel', 'Naoufel Boulila', 'Oliver Creighton', 'Han Xu']",10.1145/2509578.2514737,,,2013,User model and system model: the yin and yang in user-centered software development,"Proceedings of the 2013 ACM international symposium on New ideas, new paradigms, and reflections on programming & software - Onward! '13",,,Science
,"['Bernd Bruegge', 'Naoufel Boulila', 'Oliver Creighton', 'Han Xu']",10.1145/2393596.2393631,,,2012,From pixels to bytes: evolutionary scenario based design with video,Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering - FSE '12,,,Science
,"['Maike Ahrens', 'Kurt Schneider', 'Oliver Karras', 'Melanie Busch']",10.1007/978-3-030-44429-7_19,,,2020,Vision Meets Visualization: Are Animated Videos an Alternative?,Requirements Engineering: Foundation for Software Quality,,,Science
,"['Michael Rohs', 'Maximilian Schrapel', 'Oliver Karras', 'Melanie Busch', 'Kurt Schneider']",10.1007/978-3-030-15538-4_10,,,2019,Refining Vision Videos,Requirements Engineering: Foundation for Software Quality,,,Science
,"['Pete Sawyer', 'Emmanuel Tsekleves', 'Andy Darby']",10.1109/re.2018.00-20,,8,2018,Speculative Requirements: Design Fiction and RE,2018 IEEE 26th International Requirements Engineering Conference (RE),,,Science
,"['Stuart Moran', 'Khaled Bachour', 'Nadia Pantidi', 'Joel E. Fischer', 'Tom A. Rodden']",10.1145/2470654.2466152,,4,2013,At home with agents: exploring attitudes towards future smart energy infrastructures,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,Science
,"['Kurt Schneider', 'Ingo Kitzmann', 'Sebastian Meyer', 'Raphael Pham']",10.1109/quatic.2012.35,,9,2012,Interactive Multimedia Storyboard for Facilitating Stakeholder Interaction: Supporting Continuous Improvement in IT-ecosystems,2012 Eighth International Conference on the Quality of Information and Communications Technology,,,Science
,"['Panos Markopoulos', 'Dalila Szostak', 'Areti Goulati', 'Miroslav Bojic']",10.1145/2038476.2038497,,,2011,On the effect of visual refinement upon user feedback in the context of video prototyping,Proceedings of the 29th ACM international conference on Design of communication - SIGDOC '11,,,Science
,"['Eric Knauss', 'Kurt Schneider', 'Olesia Brill']",10.1007/978-3-642-14192-8_5,,,2010,Videos vs. Use Cases: Can Videos Capture More Requirements under Time Pressure?,Requirements Engineering: Foundation for Software Quality,,,Science
,"['B. Bruegge', 'M. Ott', 'O. Creighton']",10.1109/re.2006.59,,9,2006,Software Cinema-Video-based Requirements Engineering,14th IEEE International Requirements Engineering Conference (RE'06),,,Science
,Gutteling et al.,,,,2018,Citizens' adaptive or avoiding behavioral response to an emergency message on their mobile phone,,,,Science
,Omilion-Hodges and McClain,,,,2016,"University Use of Social Media and the Crisis Lifecycle: Organizational Messages, First Information Responders' Reactions, Reframed Messages and Dissemination Patterns.”",,,,Science
,Ada,,,,2016,Factors Impacting the Intention to Use Emergency Notification Services in Campus Emergencies: An Empirical Investigationnotification services in campus emergencies: an empirical investigation,,,,Science
,"Juelin Yin, Jieyun Feng, and Yuyan Wang",,,,2015,Social Media and Multinational Corporations' CorporateSocial Responsibility in China: The Case of ConocoPhillipsOil Spill Incident,,,,Science
,ostertag and ortiz,,,,2015,Katrina Bloggers Activate!: The Long-Term Effects ofDigital Media on Civic Participation*,,,,Science
,Lee et al.,,,,2011,Group value and intention to use. A study of multi-agency disaster management information system for public safety. A study of multi-agency disaster management information systems for public safety.”,,,,Science
,Miller et al.,,,,2009,The psychology of AMBER Alert: Unresolved issues and implications,,,,Science
,Omilion-Hodges and McClain,,,,2016,"University Use of Social Media and the Crisis Lifecycle: Organizational Messages, First Information Responders Reactions, Reframed Messages and Dissemination Patterns.",,,,Science
,Chen et al.,,,,2008,"Data model development for firerelated extreme events,,""An activity theory and semiotics approach",,,,Science
,Junglas and Ives,,,,2007,Recovering IT in a disaster: Lessons from Hurricane Katrina,,,,Science
,Omilion-Hodges and McClain,,,,2016,"University Use of Social Media and the Crisis Lifecycle: Organizational Messages, First Information Responders' Reactions, Reframed Messages and Dissemination Patterns.",,,,Science
,Van Gorp et al.,,,,2015,Just keep tweeting: Emergency responder'ssocial media use before and during emergencies,,,,Science
,Ling et al.,,,,2015,ICT-enabled community empowermentin crisis response: Social media in Thailand flooding 2011.,,,,Science
,"JUELIN YIN, JIEYUN FENG, AND YUYAN WANG",,,,2015,Social Media and Multinational Corporations'CorporateSocial Responsibility in China: The Case of ConocoPhillipsOil Spill Incident,,,,Science
,ostertag and ortiz,,,,2015,"Katrina Bloggers Activate!"": The Long-Term Effects ofDigital Media on Civic Participation*",,,,Science
,Mazer et al.,,,,2015,"Communication in the Face of a School Crisis: Examining the Volume and Content of Social Media Mentions during Active Shooter Incidents.""",,,,Science
,Leong et al.,,,,2015,ICT-Enabled Community Empowerment in CrisisResponse: Social Media in Thailand Flooding 2011.,,,,Science
,Ems,,,,2014,"Twitter's Place in the Tussle: How Old Power Struggles Play Out on a New Stage.""",,,,Science
,"Diers, A.R. and J. Donohue",,,,2013,"Synchronizing Crisis Responses after a Transgression: An Analysis of BP's Enacted Crisis Response to the Deepwater Horizon Crisis in 2010.""",,,,Science
,Bygstadt and Presthus,,,,2012,"Social Media as CRM? How Two ScandinavianAirline Companies Used Facebook during the""Ash Crisis"" in 2010",,,,Science
,Lee et al.,,,,2011,Group value and intention to useA study of multi-agency disaster management information systems for public safety.,,,,Science
,Huang et al.,,,,2010,Web 2.0 and Internet Social Networking: A New Tool for Disaster Management? Lessons from Taiwan,,,,Science
,Chen et al.,,,,2008,Data model development for firerelated extreme events An activity theory and semiotics approach,,,,Science
,Junglas and Ives,,,,2007,"Recovering IT in a disaster: Lessons from Hurricane Katrina, Mendonca, 2007, ""Decision support for improvisation in response to extreme events"": Learning from the response to the 2001 World Trade Center attack",,,,Science
,Ling and Oppegaard,,,,2021,"THIS IS NOT A DRILL: Mobile Telephony, Information Verification, and Expressive Communication During Hawaii’s False Missile Alert",,,,Science
,Miller et al.,,,,2009,The Psychology of AMBER Alert: Unresolved Issues and Implications,,,,Science
,,,,,,Public health communications and alert fatigue,,,,Science
,,,,,,Mobile text alerts are an effective way of communicating emergency information to adolescents: Results from focus groups with 12- to 18-year-olds,,,,Science
,,,,,,Milling and Public Warnings,,,,Science
,,,,,,"Evaluation of the early warning, alert and response system after Cyclone Winston, Fiji, 2016",,,,Science
,,,,,,Disaster Warnings in Your Pocket: How Audiences Interpret Mobile Alerts for an Unfamiliar Hazard,,,,Science
,,,,,,Communicating with the Workforce during Emergencies: Developing an Employee Text Messaging Program in a Local Public Health Setting,,,,Science
,,,,,,Citizens’ adaptive or avoiding behavioral response to an emergency message on their mobile phone,,,,Science
,,,,,2016,Assessing Risk Following a Wireless Emergency Alert: Are 90 Characters Enough?,,,,Science
,"Acar, A. and Y. Muraki",,,,2011,Twitter for Crisis Communication: Lessons Learned from Japan's Tsunami Disaster,,,,Science
,Omilion-Hodges and McClain,,,,2016,"University Use of Social Media and the Crisis Lifecycle: Organizational Messages, First Information Responders’ Reactions, Reframed Messages and Dissemination Patterns.”",,,,Science
,Van Gorp et al.,,,,2015,Just keep tweeting: Emergency responder’ssocial media use before and during emergencies,,,,Science
,Ling et al.,,,,2015,ICT-enabled community empowermentin crisis response: Social media in Thailand flooding 2011.”,,,,Science
,"JUELIN YIN, JIEYUN FENG, AND YUYAN WANG",,,,2015,Social Media and Multinational Corporations’ CorporateSocial Responsibility in China: The Case of ConocoPhillipsOil Spill Incident,,,,Science
,ostertag and ortiz,,,,2015,Katrina Bloggers Activate!”: The Long-Term Effects ofDigital Media on Civic Participation*,,,,Science
,Mazer et al.,,,,2015,Communication in the Face of a School Crisis: Examining the Volume and Content of Social Media Mentions during Active Shooter Incidents.”,,,,Science
,Ems,,,,2014,Twitter’s Place in the Tussle: How Old Power Struggles Play Out on a New Stage.”,,,,Science
,"Diers, A.R. and J. Donohue",,,,2013,Synchronizing Crisis Responses after a Transgression: An Analysis of BP’s Enacted Crisis Response to the Deepwater Horizon Crisis in 2010.”,,,,Science
,Kim and Liu,,,,2012,All Crises Opportunities? A Comparison of How Corporate and Government Organizations Responded to the 2009 Flu Pandemic.”,,,,Science
,Bygstadt and Presthus,,,,2012,Social Media as CRM? How Two ScandinavianAirline Companies Used Facebook during the“Ash Crisis” in 2010,,,,Science
,Lee et al.,,,,2011,Group value and intention to use—A study of multi-agency disaster management information systems for public safety.”,,,,Science
,Huang et al.,,,,2010,Web 2.0 and Internet Social Networking: A New Tool for Disaster Management? – Lessons from Taiwan,,,,Science
,Chen et al.,,,,2008,Data model development for firerelated extreme events—An activity theory and semiotics approach,,,,Science
,Junglas and Ives,,,,2007,“Recovering IT in a disaster: Lessons from Hurricane Katrina,,,,Science
,,,,,,Twitter for Crisis Communication: Lessons Learned from Japan's Tsunami Disaster,,,,Science
,,,,,,Effective Use of Mobile-Enabled Emergency Warning Systems,,,,Science
,,,,,,Effective use of information systems for emergency management: A representation theory perspective,,,,Science
,,,,,,Digitally enabled disaster response: theemergence of social media as boundaryobjects in a flooding disaster,,,,Science
,,,,,,"Twittering the Little India Riot: Audience responses, informationbehavior and the use of emotive cues",,,,Science
,,,,,,"University Use of Social Media and the Crisis Lifecycle: Organizational Messages, First Information Responders' Reactions, Reframed Messages and Dissemination Patterns.",,,,Science
,,,,,,"Social Media and Crisis Management: CERC, Search Strategies, and Twitter Content",,,,Science
,,,,,,"A Community-Based Approach to Sharing Knowledge before, during, and after Crisis Events: A Case Study from Thailand",,,,Science
,,,,,,WEB 2.0: How social media applications leverage nonprofit responsesduring a wildfire crisis,,,,Science
,,,,,,Communication barriers in crisis management A literature review,,,,Science
,,,,,,Factors impacting the intention to use emergencynotification services in campus emergencies: an empirical investigation,,,,Science
,,,,,,Just keep tweeting: Emergency responders' social media use before and during emergencies,,,,Science
,,,,,,ICT-enabled community empowerment in crisis response: Social media in Thailand flooding 2011.,,,,Science
,,,,,,Social Media and Multinational Corporations Corporate Social Responsibility in China: The Case of Conoco Phillips Oil Spill Incident,,,,Science
,,,,,,Communicating on Twitter during a disaster: An analysis of tweetsduring Typhoon Haiyan in the Philippines,,,,Science
,,,,,,Do ICTs Help To Maintain Social Capital In The Disaster Recovery Phase? A Case Study Of The L'aquila Earthquake,,,,Science
,,,,,,Terse Messaging and Public Health in the Midst of Natural Disasters:The Case of the Boulder Floods,,,,Science
,,,,,,Tweeting Taksim communication power and social media advocacyin the Taksim square protests,,,,Science
,,,,,,Katrina Bloggers Activate!:  The Long-Term Effects of Digital Media on Civic Participation,,,,Science
,,,,,,Communication in the Face of a School Crisis: Examining the Volume and Content of Social Media Mentions during Active Shooter Incidents.,,,,Science
,,,,,,Social Media in Crisis: When Professional Responders Meet Digital Volunteers,,,,Science
,,,,,,"Social Media and Disasters: A Functional Framework for Social Media Use in Disaster Planning, Response, and Research",,,,Science
,,,,,,Resource Planning in Disaster Response,,,,Science
,,,,,,Social Media in Saudi Arabia: Exploring Its Use during Two Natural Disasters,,,,Science
,,,,,,social media affordances for connective action: An examination of microbloggin use during the gulf of Mexcio oil spill,,,,Science
,,,,,,Role of Social Media in Social Change:An Analysis of Collective Sense MakingDuring the 2011 Egypt Revolution,,,,Science
,,,,,,ICT-Enabled Community Empowerment in CrisisResponse: Social Media in Thailand Flooding 2011,,,,Science
,,,,,,CAMPUS EMERGENCY NOTIFICATION SYSTEMS:AN EXAMINATION OF FACTORS AFFECTINGCOMPLIANCE WITH ALERTS1,,,,Science
,,,,,,A new methodology to support group decision-makingfor IoT-based emergency response systems,,,,Science
,,,,,,Peace Technologies' enable eyewitness reporting when disasters strike,,,,Science
,,,,,,Psychosocial Functions of Social Media Usage in a Disaster Situation: A Multi-Methodological Approach,,,,Science
,,,,,,Multi-Level Functionality of Social Media in the Aftermath of the Great East Japan Earthquake,,,,Science
,,,,,,Twitter's Place in the Tussle: How Old Power Struggles Play Out on a New Stage.,,,,Science
,,,,,,Design of a Resilient Information System   for Disaster Response,,,,Science
,,,,,,Journalists as Crowdsourcerers: Responding to Crisis by Reporting with a Crowd,,,,Science
,,,,,,Social Media and Emergency Management: Exploring State and Local Tweets,,,,Science
,,,,,,Information sharing and interoperability: the case of major incident management,,,,Science
,,,,,,Knowledge management systems in support of disastersmanagement: A two decade review,,,,Science
,,,,,,Synchronizing Crisis Responses after a Transgression: An Analysis of BP's Enacted Crisis Response to the Deepwater Horizon Crisis in 2010.,,,,Science
,,,,,,Ontology-supported case-based reasoning approach for intelligent m-Government emergency response services,,,,Science
,,,,,,Community intelligence and social media services: A rumortheoretic analysis of tweets during social crisis,,,,Science
,,,,,,Measuring Mobile ICT Literacy: Short-Message PerformanceAssessment in Emergency Response Settings,,,,Science
,,,,,,Knowledge-centered design of decision support systems for emergency management,,,,Science
,,,,,,Lessons learned from the use of social media incombating a crisis: A case study of 2011 Thailand flooding disaster,,,,Science
,,,,,,Choice of governance mechanisms to promote informationsharing via boundary objects in the disaster recovery process,,,,Science
,,,,,,Managing Turbulence in the Blogosphere: Evaluatingthe Blog-Mediated Crisis Communication Modelwith the American Red Cross,,,,Science
,,,,,,All Crises Opportunities? A Comparison of How Corporate and Government Organizations Responded to the 2009 Flu Pandemic.,,,,Science
,,,,,,Organizational Resilienceand Using Informationand CommunicationTechnologies to RebuildCommunication Structures,,,,Science
,,,,,,Social Media as CRM? How Two Scandinavian Airline Companies Used Facebook during the Ash Crisis in 2010,,,,Science
,,,,,,Design Principles of Integrated InformationPlatform for Emergency Responses: The Case of2008 Beijing Olympic Games,,,,Science
,,,,,,Crisis Response Information Networks,,,,Science
,,,,,,Organizational Factors Inhibiting the Design of Effective EMIS,,,,Science
,,,,,,Improving Communication in CrisisManagement by Evaluating theRelevance of Messages,,,,Science
,,,,,,Group value and intention to use a study of multi-agency disaster management information systems for public safety.,,,,Science
,,,,,,Online Authority Communication during an Epidemic: A Finnish Example,,,,Science
,,,,,,Hope for Haiti: An analysis of Facebook and Twitter usage during theearthquake relief efforts,,,,Science
,,,,,,Emergency! Web 2.0 to the Rescue!,,,,Science
,,,,,,"Emergency Management, Twitter,and Social Media Evangelism",,,,Science
,,,,,,The Role of Social Media during Queensland Floods:An Empirical Investigation on the Existence of Multiple Communities of Practice (MCoPs),,,,Science
,,,,,,A mobile-based emergency response system for intelligent m-government services,,,,Science
,,,,,,Use of social media in disaster management,,,,Science
,,,,,,Critical Factors Affecting Compliance to Campus Alerts,,,,Science
,,,,,,Emergency knowledge management and social media technologies: A case study of the 2010 Haitian earthquake,,,,Science
,,,,,,"An Empirical Examination of IT-EnabledEmergency Response: The Cases of Hurricane Katrina and Hurricane Rita,""",,,,Science
,,,,,,Challenges and obstacles in sharing and coordinatinginformation during multi-agency disaster response:Propositions from field exercises,,,,Science
,,,,,,"Socially distributing public relations: Twitter, Haiti, and interactivity insocial media",,,,Science
,,,,,,Web 2.0 and Internet Social Networking: A New Tool for Disaster Management? Lessons from Taiwan,,,,Science
,,,,,,An empirical examination of IT-enabled emergency response: The cases of Hurricane Katrina and Hurricane Rita,,,,Science
,,,,,,End-user oriented strategies to facilitate multi-organizational adoption of emergency management information systems,,,,Science
,,,,,,The turnaround of the London AmbulanceService Computer-Aided Despatch system(LASCAD),,,,Science
,,,,,,Designing Emergency Response Dispatch Systems for BetterDispatcher Performance,,,,Science
,,,,,,The role of IT in crisis response: Lessons from the SARS and AsianTsunami disasters,,,,Science
,,,,,,Information impediments,,,,Science
,,,,,,Transportation security decisionsupport system for emergency response: A training prototype,,,,Science
,,,,,,Data model development for firerelated extreme events An activity theory and semiotics approach,,,,Science
,,,,,,Emergency Response Information SystemInteroperability: Development of Chemical IncidentResponse Data Model,,,,Science
,,,,,,Emergency response Information Systems: Emerging trendsin emergency management,,,,Science
,,,,,,Online forums supporting grassroots participation in emergencypreparedness and response.,,,,Science
,,,,,,Decision support for improvisation in response to extreme events:Learning from the response to the 2001 World Trade Center attack,,,,Science
,,,,,,Recovering IT in a disaster: Lessons from Hurricane Katrina,,,,Science
,,,,,,Open source software for disaster management,,,,Science
,,,,,,"Do You Know What It Means to MissNew Orleans? InternetCommunication, GeographicCommunity, and Social Capital in Crisis",,,,Science
,,,,,,Human-Computer Interaction:THE HUMAN AND COMPUTER AS A TEAM in Emergency Management Information Systems,,,,Science
,,,,,,"Information systems and health care XIII: Examining the critical requirements,design approaches and evaluation methods for a public health emergency response system",,,,Science
,,,,,,E-government capabilities and crisis management: Lessonsfrom combating SARS in Singapore,,,,Science
,,,,,,Learning from crisis: Lessons in human andinformation infrastructure from the World Trade Center response,,,,Science
,,,,,,The design of a dynamic emergency response management information system,,,,Science
,,,,,,Past and Future EmergencyResponse Information Systems,,,,Science
,,,,,,A framework for designing a global infor-mation network for multinational humanitarian assistance/disaster relief,,,,Science
,,,,,,An integrated emergency management decisionsupport system for hurricane emergencies,,,,Science
,,,,,,Distributed GroupSupport Systems,,,,Science
,Richard P. Feynman,10.1007/BF02650179,,6,1982,Simulating physics with computers,International Journal of Theoretical Physics,,,Science
,"['H.-J. Kunze', 'S. Glenzer']",10.1103/PhysRevA.53.2225,,4,1996,Stark broadening of resonance transitions in B III,Physical Review A,,,Science
,"['L Klein', 'R W Lee', 'J Nash', 'B Talin', 'R Stamm', 'A Calisti', 'L Godbert', 'H -J Kunze', 'S Buscher', 'T Wrubel', 'S Glenzer']",10.1088/0953-4075/27/22/010,,11,1994,"Spectral line profiles of n=4 to n=5 transitions in C IV, N V and O VI","Journal of Physics B: Atomic, Molecular and Optical Physics",,,Science
,"['H.-J. Kunze', 'N. I. Uzelac', 'S. Glenzer']",10.1103/PhysRevA.45.8795,,6,1992,Stark broadening of spectral lines along the isoelectronic sequence of Li,Physical Review A,,,Science
,"['H. -J. Kunze', 'J. D. Hey', 'P. Breger', 'F. Böttcher']",10.1103/PhysRevA.38.2690,,9,1988,Dependence of the Stark broadening on the emitter charge for the3s−3ptransitions of Li-like ions,Physical Review A,,,Science
,"['H.-J. Kunze', 'J. Musielok', 'F. Böttcher']",10.1103/PhysRevA.36.2265,,9,1987,Stark broadening of C iv and N v lines in the vacuum-uv spectral range,Physical Review A,,,Science
,"['Walter W. Jones', 'M. Blaha', 'A. Sanchez']",10.1103/PhysRevA.8.774,,8,1973,Measurement and Calculation of the Stark-Broadening Parameters for the Resonance Lines of Singly Ionized Beryllium,Physical Review A,,,Science
,,https://doi.org/10.1038/s41586-020-2639-4,,,,Phase I/II study of COVID-19 RNA vaccine BNT162b1 in adults,,,,Science
,,https://doi.org/10.1101/2020.11.09.20228551,,,,Phase 1 assessment of the safety and immunogenicity of an mRNA- lipid nanoparticle vaccine candidate against SARS-CoV-2 in human volunteers,,,,Science
,,https:// doi.org/10.1101/2020.09.03.280446,,,,A single dose of self-transcribing and replicating RNA based SARS-CoV-2 vaccine produces protective adaptive immunity In mice,,,,Science
,,https://doi.org/10.1038/s41467-020-17409-9,,,,Self-amplifying RNA SARS-CoV-2 lipid nanoparticle vaccine candidate in- duces high neutralizing antibody titers in mice,,,,Science
,,https://doi.org/10.1016/j.cell. 2020.07.024,,,,"Thermostable, mRNA vaccine against COVID-19",,,,Science
,,https://doi.org/10. 1056/NEJMoa2022483,,,,An mRNA vaccine against SARS-CoV-2 — pre- liminary report,,,,Science
,,https://doi. org/10.1056/NEJMoa2027906,,,,Safety and immunogenicity of two RNA-based Covid-19 vaccine candidates,,,,Science
,"['E.N. Dhanamjaya Rao', 'A.T. Jeyaseelan', 'K. Vinod Kumar', 'Reshma Parveen', 'Vivek Kr. Singh', 'Arindam Guha']",10.1016/j.jag.2012.08.003,https://doi.org/10.1016/j.jag.2012.08.003,,,"Analysis of ASTER data for mapping bauxite rich pockets within high altitude lateritic bauxite, Jharkhand, India",International Journal of Applied Earth Observation and Geoinformation,,,Science
,"['F Klauser', 'T Paasche', 'O Söderström']",,,,2014,Smart cities as corporate storytelling,,,,Science
,R Hollands,,,,2008,Will the Real Smart City Stand Up? Creative,,,,Science
,"['G P Hancke', 'B De Carvalho E Silva', 'G P Hancke']",,,,2013,The Role of Advanced Sensing in Smart Cities,,,,Science
,"['N V Maklakova', 'Y S Yasnitskaya', 'I S Glebova']",,,,2014,"Assessment of Cities in Russia According to the Concept of ""Smart City"" in the Context of the Application of Information and Communication Technologies",,,,Science
,L Anthopoulos,,,,2015,(Ed) Transforming City Governments for successful Smart Cities,,,,Science
,,,,,,Investigating Interactive Search Behaviour of Medical Students: An Exploratory Survey,,,,Science
,,10.1016/j.pnpbp.2013.12.009,,,,"Where there's smoke, there's fire: the brain reactivity of chronic smokers when exposed to the negative value of smoking",,,,Science
,,10.1037/0278-6133.25.3.300,,,,Increased attention for computer-tailored health communications: an event-related potential study,,,,Science
,"['John A. Updegraff', 'Kristel M. Gallagher']",10.1007/s12160-011-9308-7,,10,2011,"Health Message Framing Effects on Attitudes, Intentions, and Behavior: A Meta-analytic Review",Annals of Behavioral Medicine,,,Science
,"[' Hu, HongXin', ' Ahn, Gail-Joon', ' Hu, ZeXing', ' Wang, HuaiXi', 'Zhu, Yan']",,,,,Zero-Knowledge Proofs of Retrievability,,,,Science
,"[' Han, Shuai', ' Liu, Shengli', 'Zhang, Xiao']",,,,,Proofs of Retrievability from Linearly Homomorphic Structure-Preserving Signatures,,,,Science
,"[' Liu, Liming', 'Yang, Dexin']",,,,,A Novel Zero Knowledge Proof of Retrievability,,,,Science
,"[' Zhou, Jianying', ' Chang, Ee-Chien', 'Xu, Jia']",,,,,Towards Efficient Provable Data Possession in Cloud Storage,,,,Science
,"[' Cui, Jie', ' Chen, Fei', ' Wang, Lingyan', ' Zhong, Hong', ' Ye, Shibei', 'Tian, Miaomiao']",,,,,Identity-Based Proofs of Storage with Enhanced Privacy,,,,Science
,"[' Lim, Azman Osman', ' Kho, Lee Chin', 'Thao, Tran Phuong']",,,,,SW-POR: A Novel POR Scheme Using Slepian-Wolf Coding for Cloud Storage,,,,Science
,"[' Gani, Abdullah', ' Lim, Yuto', ' Hijazi, Mohd Hanafi Ahmad', 'Tan, Choon Beng']",,,,,"A Survey on Proof of Retrievability for Cloud Data Integrity and Availability: Cloud Storage State-of-the-Art, Issues, Solutions and Future Trends",,,,Science
,"[' Yang, Bo', 'Shao, Zhi Yi']",,,,,Proof of Retrievability with Efficient Verification,,,,Science
,"[' Waters, Brent', 'Shacham, Hovav']",,,,,Compact Proofs of Retrievability,,,,Science
